GEOID,NAME,variable,year,value
01,Alabama,POP,2020,5031362
01,Alabama,POP,2021,5049846
01,Alabama,POP,2022,5074296
02,Alaska,POP,2020,732923
02,Alaska,POP,2021,734182
02,Alaska,POP,2022,733583
04,Arizona,POP,2020,7179943
04,Arizona,POP,2021,7264877
04,Arizona,POP,2022,7359197
05,Arkansas,POP,2020,3014195
05,Arkansas,POP,2021,3028122
05,Arkansas,POP,2022,3045637
06,California,POP,2020,39501653
06,California,POP,2021,39142991
06,California,POP,2022,39029342
08,Colorado,POP,2020,5784865
08,Colorado,POP,2021,5811297
08,Colorado,POP,2022,5839926
09,Connecticut,POP,2020,3597362
09,Connecticut,POP,2021,3623355
09,Connecticut,POP,2022,3626205
10,Delaware,POP,2020,992114
10,Delaware,POP,2021,1004807
10,Delaware,POP,2022,1018396
11,District of Columbia,POP,2020,670868
11,District of Columbia,POP,2021,668791
11,District of Columbia,POP,2022,671803
12,Florida,POP,2020,21589602
12,Florida,POP,2021,21828069
12,Florida,POP,2022,22244823
13,Georgia,POP,2020,10729828
13,Georgia,POP,2021,10788029
13,Georgia,POP,2022,10912876
15,Hawaii,POP,2020,1451043
15,Hawaii,POP,2021,1447154
15,Hawaii,POP,2022,1440196
16,Idaho,POP,2020,1849202
16,Idaho,POP,2021,1904314
16,Idaho,POP,2022,1939033
17,Illinois,POP,2020,12786580
17,Illinois,POP,2021,12686469
17,Illinois,POP,2022,12582032
18,Indiana,POP,2020,6788799
18,Indiana,POP,2021,6813532
18,Indiana,POP,2022,6833037
19,Iowa,POP,2020,3190571
19,Iowa,POP,2021,3197689
19,Iowa,POP,2022,3200517
20,Kansas,POP,2020,2937919
20,Kansas,POP,2021,2937922
20,Kansas,POP,2022,2937150
21,Kentucky,POP,2020,4507445
21,Kentucky,POP,2021,4506589
21,Kentucky,POP,2022,4512310
22,Louisiana,POP,2020,4651664
22,Louisiana,POP,2021,4627098
22,Louisiana,POP,2022,4590241
23,Maine,POP,2020,1363557
23,Maine,POP,2021,1377238
23,Maine,POP,2022,1385340
24,Maryland,POP,2020,6173205
24,Maryland,POP,2021,6174610
24,Maryland,POP,2022,6164660
25,Massachusetts,POP,2020,6995729
25,Massachusetts,POP,2021,6989690
25,Massachusetts,POP,2022,6981974
26,Michigan,POP,2020,10069577
26,Michigan,POP,2021,10037504
26,Michigan,POP,2022,10034113
27,Minnesota,POP,2020,5709852
27,Minnesota,POP,2021,5711471
27,Minnesota,POP,2022,5717184
28,Mississippi,POP,2020,2958141
28,Mississippi,POP,2021,2949586
28,Mississippi,POP,2022,2940057
29,Missouri,POP,2020,6153998
29,Missouri,POP,2021,6169823
29,Missouri,POP,2022,6177957
30,Montana,POP,2020,1087075
30,Montana,POP,2021,1106227
30,Montana,POP,2022,1122867
31,Nebraska,POP,2020,1962642
31,Nebraska,POP,2021,1963554
31,Nebraska,POP,2022,1967923
32,Nevada,POP,2020,3115648
32,Nevada,POP,2021,3146402
32,Nevada,POP,2022,3177772
33,New Hampshire,POP,2020,1378587
33,New Hampshire,POP,2021,1387505
33,New Hampshire,POP,2022,1395231
34,New Jersey,POP,2020,9271689
34,New Jersey,POP,2021,9267961
34,New Jersey,POP,2022,9261699
35,New Mexico,POP,2020,2118390
35,New Mexico,POP,2021,2116677
35,New Mexico,POP,2022,2113344
36,New York,POP,2020,20108296
36,New York,POP,2021,19857492
36,New York,POP,2022,19677151
37,North Carolina,POP,2020,10449445
37,North Carolina,POP,2021,10565885
37,North Carolina,POP,2022,10698973
38,North Dakota,POP,2020,779518
38,North Dakota,POP,2021,777934
38,North Dakota,POP,2022,779261
39,Ohio,POP,2020,11797517
39,Ohio,POP,2021,11764342
39,Ohio,POP,2022,11756058
40,Oklahoma,POP,2020,3964912
40,Oklahoma,POP,2021,3991225
40,Oklahoma,POP,2022,4019800
41,Oregon,POP,2020,4244795
41,Oregon,POP,2021,4256301
41,Oregon,POP,2022,4240137
42,Pennsylvania,POP,2020,12994440
42,Pennsylvania,POP,2021,13012059
42,Pennsylvania,POP,2022,12972008
44,Rhode Island,POP,2020,1096345
44,Rhode Island,POP,2021,1096985
44,Rhode Island,POP,2022,1093734
45,South Carolina,POP,2020,5131848
45,South Carolina,POP,2021,5193266
45,South Carolina,POP,2022,5282634
46,South Dakota,POP,2020,887799
46,South Dakota,POP,2021,896164
46,South Dakota,POP,2022,909824
47,Tennessee,POP,2020,6925619
47,Tennessee,POP,2021,6968351
47,Tennessee,POP,2022,7051339
48,Texas,POP,2020,29232474
48,Texas,POP,2021,29558864
48,Texas,POP,2022,30029572
49,Utah,POP,2020,3283785
49,Utah,POP,2021,3339113
49,Utah,POP,2022,3380800
50,Vermont,POP,2020,642893
50,Vermont,POP,2021,646972
50,Vermont,POP,2022,647064
51,Virginia,POP,2020,8636471
51,Virginia,POP,2021,8657365
51,Virginia,POP,2022,8683619
53,Washington,POP,2020,7724031
53,Washington,POP,2021,7740745
53,Washington,POP,2022,7785786
54,West Virginia,POP,2020,1791420
54,West Virginia,POP,2021,1785526
54,West Virginia,POP,2022,1775156
55,Wisconsin,POP,2020,5896271
55,Wisconsin,POP,2021,5880101
55,Wisconsin,POP,2022,5892539
56,Wyoming,POP,2020,577605
56,Wyoming,POP,2021,579483
56,Wyoming,POP,2022,581381
72,Puerto Rico,POP,2020,3281557
72,Puerto Rico,POP,2021,3262693
72,Puerto Rico,POP,2022,3221789
01,Alabama,POP,2019,4903185
02,Alaska,POP,2019,731545
04,Arizona,POP,2019,7278717
05,Arkansas,POP,2019,3017804
06,California,POP,2019,39512223
08,Colorado,POP,2019,5758736
10,Delaware,POP,2019,973764
11,District of Columbia,POP,2019,705749
09,Connecticut,POP,2019,3565287
12,Florida,POP,2019,21477737
13,Georgia,POP,2019,10617423
16,Idaho,POP,2019,1787065
15,Hawaii,POP,2019,1415872
17,Illinois,POP,2019,12671821
18,Indiana,POP,2019,6732219
19,Iowa,POP,2019,3155070
20,Kansas,POP,2019,2913314
21,Kentucky,POP,2019,4467673
22,Louisiana,POP,2019,4648794
23,Maine,POP,2019,1344212
24,Maryland,POP,2019,6045680
25,Massachusetts,POP,2019,6892503
26,Michigan,POP,2019,9986857
27,Minnesota,POP,2019,5639632
28,Mississippi,POP,2019,2976149
29,Missouri,POP,2019,6137428
30,Montana,POP,2019,1068778
31,Nebraska,POP,2019,1934408
32,Nevada,POP,2019,3080156
33,New Hampshire,POP,2019,1359711
34,New Jersey,POP,2019,8882190
35,New Mexico,POP,2019,2096829
36,New York,POP,2019,19453561
37,North Carolina,POP,2019,10488084
41,Oregon,POP,2019,4217737
38,North Dakota,POP,2019,762062
39,Ohio,POP,2019,11689100
40,Oklahoma,POP,2019,3956971
42,Pennsylvania,POP,2019,12801989
44,Rhode Island,POP,2019,1059361
45,South Carolina,POP,2019,5148714
46,South Dakota,POP,2019,884659
47,Tennessee,POP,2019,6829174
48,Texas,POP,2019,28995881
50,Vermont,POP,2019,623989
49,Utah,POP,2019,3205958
51,Virginia,POP,2019,8535519
53,Washington,POP,2019,7614893
54,West Virginia,POP,2019,1792147
55,Wisconsin,POP,2019,5822434
56,Wyoming,POP,2019,578759
72,Puerto Rico,POP,2019,3193694
01,Alabama,POP,2018,4887871
02,Alaska,POP,2018,737438
04,Arizona,POP,2018,7171646
05,Arkansas,POP,2018,3013825
06,California,POP,2018,39557045
08,Colorado,POP,2018,5695564
09,Connecticut,POP,2018,3572665
10,Delaware,POP,2018,967171
11,District of Columbia,POP,2018,702455
12,Florida,POP,2018,21299325
13,Georgia,POP,2018,10519475
15,Hawaii,POP,2018,1420491
16,Idaho,POP,2018,1754208
17,Illinois,POP,2018,12741080
18,Indiana,POP,2018,6691878
19,Iowa,POP,2018,3156145
20,Kansas,POP,2018,2911505
21,Kentucky,POP,2018,4468402
22,Louisiana,POP,2018,4659978
23,Maine,POP,2018,1338404
24,Maryland,POP,2018,6042718
25,Massachusetts,POP,2018,6902149
26,Michigan,POP,2018,9995915
27,Minnesota,POP,2018,5611179
28,Mississippi,POP,2018,2986530
29,Missouri,POP,2018,6126452
30,Montana,POP,2018,1062305
31,Nebraska,POP,2018,1929268
32,Nevada,POP,2018,3034392
33,New Hampshire,POP,2018,1356458
34,New Jersey,POP,2018,8908520
35,New Mexico,POP,2018,2095428
36,New York,POP,2018,19542209
37,North Carolina,POP,2018,10383620
38,North Dakota,POP,2018,760077
39,Ohio,POP,2018,11689442
40,Oklahoma,POP,2018,3943079
41,Oregon,POP,2018,4190713
42,Pennsylvania,POP,2018,12807060
44,Rhode Island,POP,2018,1057315
45,South Carolina,POP,2018,5084127
46,South Dakota,POP,2018,882235
47,Tennessee,POP,2018,6770010
48,Texas,POP,2018,28701845
49,Utah,POP,2018,3161105
50,Vermont,POP,2018,626299
