cmte_id,amndt_ind,rpt_tp,transaction_pgi,image_num,transaction_tp,entity_tp,name,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,other_id,cand_id,tran_id,file_num,memo_cd,memo_text,sub_id
C00725820,N,30R,P2024,202102049425015900,24A,ORG,SUMMIT STRATEGIC COMMUNICATIONS LLC,PARK CITY,UT,840987502,,,01082021,6585,S8MO00160,S8MO00160,500089221,1498464,,,4020620211121397486
C00725820,N,30R,P2024,202102049425015895,24A,ORG,SHUTTERSTOCK,NEW YORK,NY,101182100,,,01082021,1937,S8MO00160,S8MO00160,500089243,1498464,,,4020620211121397476
C00749101,N,30R,P2024,202102049425073813,24A,ORG,"GRASSROOTS MEDIA, LLC",BALA CYNWYD,PA,19004,,,01252021,1088,S8MO00160,S8MO00160,SE.6413,1498608,,,4022420211188852668
C00250068,N,M2,P2022,202102169427802831,24K,CCM,GRAVES FOR CONGRESS,KANSAS CITY,MO,64108,,,01152021,2500,C00359034,H0MO06073,SB23.10876,1500007,,,4021920211158862279
C00448696,N,M2,P2024,202102199428655887,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,,,01192021,25750,S8MO00160,S8MO00160,E1D4AFC8D036444288D3,1501126,,,4022320211164077077
C00448696,N,M2,P2024,202102199428655887,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,,,01192021,51500,S8MO00160,S8MO00160,E112BC37CF0A6440B944,1501126,,,4022320211164077078
C00448696,N,M2,P2024,202102199428655888,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,,,01192021,51500,S8MO00160,S8MO00160,E1FC4DDF89BC045D5B56,1501126,,,4022320211164077079
C00448696,N,M2,P2024,202102199428655890,24E,ORG,RIGHT COUNTRY LISTS,ALEXANDRIA,VA,223143109,,,01202021,25900,S8MO00160,S8MO00160,E989F53EC66FD426987D,1501126,,,4022320211164077083
C00448696,N,M2,P2024,202102199428655888,24E,ORG,RIGHT COUNTRY LISTS,ALEXANDRIA,VA,223143109,,,01192021,25900,S8MO00160,S8MO00160,EA65313AA5C8848F587A,1501126,,,4022320211164077080
C00448696,N,M2,P2024,202102199428655889,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,,,01192021,51500,S8MO00160,S8MO00160,E1A9777C69EDB405B980,1501126,,,4022320211164077081
C00448696,N,M2,P2024,202102199428655889,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,,,01142021,1948,S8MO00160,S8MO00160,EE6D34444197A449FBF5,1501126,,,4022320211164077082
